H,data,variavel,piso_MAE,ci_MAE_s42,ci_MAE_s7,ci_MAE_s123,ci_MAE_media,ci_MAE_dp
288,2023-01-26,ph,0.0203,0.0133,0.0074,0.0133,0.0113,0.0034
288,2023-01-26,od,0.072,0.1665,0.1634,0.1396,0.1565,0.0147
288,2023-01-27,ph,0.0158,0.0296,0.0124,0.0204,0.0208,0.0086
288,2023-01-27,od,0.0386,0.1594,0.1679,0.1332,0.1535,0.0181
288,2024-04-19,ph,0.0262,0.0178,0.0218,0.0227,0.0208,0.0026
288,2024-04-19,od,0.3019,0.2491,0.259,0.2278,0.2453,0.0159
288,2024-04-20,ph,0.0623,0.0466,0.0504,0.0349,0.044,0.0081
288,2024-04-20,od,0.2474,0.0929,0.2389,0.0851,0.1389,0.0866
288,2024-04-21,ph,0.0226,0.0235,0.0216,0.0295,0.0249,0.0041
288,2024-04-21,od,0.0525,0.062,0.1494,0.0663,0.0926,0.0493
288,2024-04-22,ph,0.0238,0.03,0.0233,0.0212,0.0248,0.0046
288,2024-04-22,od,0.0403,0.1109,0.1511,0.079,0.1137,0.0362
288,2024-04-23,ph,0.0327,0.0298,0.0252,0.036,0.0303,0.0054
288,2024-04-23,od,0.0287,0.0524,0.0924,0.0635,0.0694,0.0206
288,2024-04-24,ph,0.024,0.0211,0.0181,0.0239,0.0211,0.0029
288,2024-04-24,od,0.0421,0.097,0.1287,0.0512,0.0923,0.039
288,2024-04-25,ph,0.0255,0.0259,0.0241,0.0322,0.0274,0.0043
288,2024-04-25,od,0.178,0.1408,0.1502,0.1903,0.1604,0.0262
288,2024-04-26,ph,0.0263,0.0138,0.014,0.0124,0.0134,0.0009
288,2024-04-26,od,0.2024,0.2174,0.1926,0.2037,0.2046,0.0124
288,2024-04-27,ph,0.018,0.0154,0.013,0.0126,0.0137,0.0015
288,2024-04-27,od,0.0495,0.0323,0.075,0.0944,0.0672,0.0317
288,2024-04-28,ph,0.0207,0.0219,0.0207,0.0223,0.0216,0.0008
288,2024-04-28,od,0.0424,0.0716,0.0953,0.096,0.0876,0.0139
288,2024-07-20,ph,0.0224,0.0191,0.0234,0.0263,0.0229,0.0037
288,2024-07-20,od,0.1723,0.2971,0.3244,0.3267,0.3161,0.0165
288,2024-07-21,ph,0.0392,0.017,0.0321,0.0217,0.0236,0.0077
288,2024-07-21,od,0.2109,0.1042,0.2235,0.0754,0.1344,0.0785
288,2024-07-22,ph,0.0733,0.0645,0.0643,0.059,0.0626,0.0031
288,2024-07-22,od,0.1255,0.0632,0.1067,0.0695,0.0798,0.0235
288,2024-07-23,ph,0.0951,0.0283,0.0299,0.0259,0.028,0.002
288,2024-07-23,od,0.1972,0.3541,0.3107,0.3123,0.3257,0.0246
288,2024-07-24,ph,0.0181,0.0229,0.0247,0.0265,0.0247,0.0018
288,2024-07-24,od,0.1232,0.1603,0.1716,0.1176,0.1498,0.0285
288,2024-07-25,ph,0.0213,0.0131,0.0163,0.0131,0.0142,0.0018
288,2024-07-25,od,0.0627,0.1636,0.1421,0.1276,0.1444,0.0181
288,2024-07-26,ph,0.0338,0.0176,0.0157,0.0166,0.0166,0.001
288,2024-07-26,od,0.1184,0.1966,0.191,0.2058,0.1978,0.0075
288,2024-07-27,ph,0.0303,0.025,0.0183,0.0261,0.0231,0.0042
288,2024-07-27,od,0.0989,0.1116,0.1167,0.1412,0.1232,0.0158
288,2024-07-28,ph,0.0368,0.0308,0.0273,0.0447,0.0343,0.0092
288,2024-07-28,od,0.1378,0.0771,0.0501,0.0686,0.0653,0.0138
288,2024-07-29,ph,0.0223,0.0217,0.0191,0.0214,0.0207,0.0014
288,2024-07-29,od,0.0839,0.0709,0.0891,0.0796,0.0799,0.0091
288,2024-09-15,ph,0.0863,0.0673,0.0706,0.0698,0.0693,0.0017
288,2024-09-15,od,0.2503,0.2088,0.1852,0.204,0.1994,0.0125
288,2024-09-16,ph,0.0575,0.0567,0.0451,0.0437,0.0485,0.0071
288,2024-09-16,od,0.0865,0.2047,0.1903,0.1869,0.194,0.0095
288,2024-09-17,ph,0.0737,0.0606,0.0902,0.0718,0.0742,0.015
288,2024-09-17,od,0.4317,0.4032,0.4564,0.4452,0.4349,0.0281
288,2024-09-18,ph,0.0687,0.0862,0.0513,0.0702,0.0693,0.0175
288,2024-09-18,od,0.1765,0.1195,0.1204,0.1628,0.1342,0.0247
288,2024-09-19,ph,0.0693,0.046,0.0429,0.0428,0.0439,0.0018
288,2024-09-19,od,0.1365,0.195,0.178,0.2157,0.1963,0.0189
288,2024-09-20,ph,0.0614,0.0404,0.032,0.0444,0.0389,0.0064
