H,fatia,nome,qualitativa,variavel,modelo,seed,MAE,RMSE
288,2024-11-20->2024-11-24,nov24,True,ph,patchtst-CI,42,0.0184,0.0235
288,2024-11-20->2024-11-24,nov24,True,ph,patchtst-CI,7,0.0204,0.0263
288,2024-11-20->2024-11-24,nov24,True,ph,patchtst-CI,123,0.0177,0.0228
288,2024-11-20->2024-11-24,nov24,True,od,sazonal-naive-288,0,0.0911,0.1039
288,2024-11-20->2024-11-24,nov24,True,od,patchtst-CI,42,0.1493,0.195
288,2024-11-20->2024-11-24,nov24,True,od,patchtst-CI,7,0.2023,0.2708
288,2024-11-20->2024-11-24,nov24,True,od,patchtst-CI,123,0.1263,0.1651
288,2024-12-13->2024-12-22,dez24,False,ph,sazonal-naive-288,0,0.0354,0.0488
288,2024-12-13->2024-12-22,dez24,False,ph,patchtst-CI,42,0.0331,0.0431
288,2024-12-13->2024-12-22,dez24,False,ph,patchtst-CI,7,0.0315,0.0421
288,2024-12-13->2024-12-22,dez24,False,ph,patchtst-CI,123,0.0304,0.0403
288,2024-12-13->2024-12-22,dez24,False,od,sazonal-naive-288,0,0.2499,0.3616
288,2024-12-13->2024-12-22,dez24,False,od,patchtst-CI,42,0.2079,0.2769
288,2024-12-13->2024-12-22,dez24,False,od,patchtst-CI,7,0.2105,0.2884
288,2024-12-13->2024-12-22,dez24,False,od,patchtst-CI,123,0.1943,0.2672
288,2023-01-18->2023-01-27,jan23aux,False,ph,sazonal-naive-288,0,0.0294,0.0346
288,2023-01-18->2023-01-27,jan23aux,False,ph,patchtst-CI,42,0.0247,0.0306
288,2023-01-18->2023-01-27,jan23aux,False,ph,patchtst-CI,7,0.0193,0.0252
288,2023-01-18->2023-01-27,jan23aux,False,ph,patchtst-CI,123,0.0173,0.0223
288,2023-01-18->2023-01-27,jan23aux,False,od,sazonal-naive-288,0,0.0717,0.1085
288,2023-01-18->2023-01-27,jan23aux,False,od,patchtst-CI,42,0.1095,0.1428
288,2023-01-18->2023-01-27,jan23aux,False,od,patchtst-CI,7,0.1171,0.1576
288,2023-01-18->2023-01-27,jan23aux,False,od,patchtst-CI,123,0.112,0.1463
288,2022-07-20->2022-07-29,jul22aux,False,ph,sazonal-naive-288,0,0.0644,0.1348
288,2022-07-20->2022-07-29,jul22aux,False,ph,patchtst-CI,42,0.0556,0.1179
288,2022-07-20->2022-07-29,jul22aux,False,ph,patchtst-CI,7,0.0573,0.1215
288,2022-07-20->2022-07-29,jul22aux,False,ph,patchtst-CI,123,0.0573,0.1195
288,2022-07-20->2022-07-29,jul22aux,False,od,sazonal-naive-288,0,0.1326,0.1649
288,2022-07-20->2022-07-29,jul22aux,False,od,patchtst-CI,42,0.1099,0.1357
288,2022-07-20->2022-07-29,jul22aux,False,od,patchtst-CI,7,0.1171,0.1419
288,2022-07-20->2022-07-29,jul22aux,False,od,patchtst-CI,123,0.1065,0.1363
