,fatia,persistencia,sazonal_naive_288,media_movel_288,patchtst_s42,patchtst_s7,patchtst_s123,patchtst_s2024,patchtst_s999,patchtst_media,patchtst_dp,dlinear_s42,dlinear_s7,dlinear_s123,dlinear_s2024,dlinear_s999,dlinear_media,dlinear_dp
2024-11-23,2024-11-20→2024-11-24,0.7692708333333333,0.2757986111111111,0.6044299768518518,0.30148213975959354,0.31929927382204265,0.2935253354575899,0.31292559729682073,0.35112930066055725,0.3156723293993208,0.022190915352769097,0.32655309293005197,0.27774491899543335,0.285267176495658,0.2803173780441284,0.24406696763303545,0.28278990681966143,0.029378498274775185
2024-11-24,2024-11-20→2024-11-24,0.8445486111111112,0.1892361111111111,0.5709406346450617,0.14602141969733767,0.17272406929069095,0.19657442178991105,0.2434847292635176,0.20055582662423452,0.19187209333313837,0.036160456309534426,0.09810894416438208,0.06528064568837483,0.036277720729509966,0.043880028658443,0.03647417035367754,0.05600430191887749,0.026345841696652227
2024-12-13,2024-12-13→2024-12-22,0.9186458333333333,0.11204861111111113,0.5794328703703704,0.21542240275277033,0.14136049224270714,0.14789214226934647,0.1586392108599345,0.1060898255639606,0.1538808147377438,0.03964407493115794,0.1603510253959232,0.15014797098106808,0.17349571426709495,0.17870811025301617,0.18336959554089438,0.16921448328759936,0.013701440361274887
2024-12-14,2024-12-13→2024-12-22,0.961631944444444,0.10201388888888885,0.49968195408950616,0.1593240208758248,0.171732738216718,0.10776421977414025,0.06227500392331017,0.16180566430091856,0.13258032941818237,0.04653207076125656,0.08490146285957759,0.11147920548915859,0.1290696754720476,0.1085917818546295,0.1437172524796592,0.11555187563101448,0.02225138600227133
2024-12-15,2024-12-13→2024-12-22,0.7634722222222224,0.18857638888888884,0.5570196759259259,0.1521040047539605,0.18307507428858014,0.16331298251946766,0.11530127916071148,0.17929679340786403,0.15861802682611675,0.02723313367366596,0.18446384131908417,0.12202107813623216,0.11661796563201479,0.11145833724074894,0.10688241528140176,0.12828872752189635,0.03190856375172745
2024-12-16,2024-12-13→2024-12-22,0.775590277777778,0.28065972222222224,0.5625202546296297,0.14826159867975447,0.1466720818148719,0.12265286717149942,0.11672740916411081,0.12595398128032684,0.1320535876221127,0.014464356912339955,0.11977810634507072,0.1124596595101886,0.08599940862920546,0.06380223260985478,0.05820359567801154,0.08804860055446621,0.027773508957203253
2024-12-17,2024-12-13→2024-12-22,0.8189930555555553,0.07458333333333332,0.5506237943672839,0.1131845099396176,0.12305358111858365,0.14847471767001683,0.157751075691647,0.21438375896877712,0.15136952867772846,0.039622549875155226,0.12072797271940446,0.1124777199162377,0.0866785203748279,0.09603563653098213,0.08920111768775518,0.10102419344584149,0.014915523311335744
2024-12-18,2024-12-13→2024-12-22,0.828263888888889,0.17531250000000004,0.5918385898919754,0.20045672045813667,0.21091864592499204,0.2473666264613469,0.19409456650416057,0.26369257635540433,0.2233058271408081,0.030572999765796822,0.19324108170138465,0.15095413042439354,0.12252769774860808,0.12976916101243763,0.06653150233957505,0.1326047146452798,0.04606714145552319
2024-12-19,2024-12-13→2024-12-22,0.8624305555555556,0.06708333333333331,0.5898061342592593,0.07525157041019864,0.10439589480559029,0.12296783116128711,0.1243588108486599,0.16265684366226196,0.1179261901775996,0.031905407765836315,0.0957537943124771,0.0881579686535729,0.06915206140942044,0.06928937362300025,0.06650528060065378,0.0777716957198249,0.013270366693191258
2024-12-20,2024-12-13→2024-12-22,1.0119618055555553,0.19348958333333333,0.5801948302469135,0.2563370781474643,0.20853698790073394,0.21412748429510328,0.20521800604131485,0.1982752364873886,0.216498958574401,0.022997046414386574,0.11390574044651454,0.16721309754583571,0.16966294076707628,0.20309446222252314,0.20508988817532856,0.17179322583145565,0.03696252080354976
2024-12-21,2024-12-13→2024-12-22,1.2018402777777777,0.8098784722222223,0.8314295187114193,0.5736647894647388,0.4807486004961863,0.5031392425960965,0.45319927189085224,0.38177185118198403,0.4785047511259716,0.07011588111390327,0.463181293739213,0.5036569387382932,0.45185500555568286,0.4964725591076746,0.5480344196822909,0.4926400433646309,0.03786764557900258
2024-12-22,2024-12-13→2024-12-22,0.7051736111111111,0.5506249999999999,0.6928317901234569,0.22069873078001873,0.1752687548597654,0.13437263531817328,0.19817161457406146,0.19701748579740525,0.18510584426588483,0.0325963262740053,0.16718764934274885,0.1730184241135915,0.17835423052310947,0.1914901073111428,0.20238867117298975,0.18248781649271648,0.014299792802692878
