,fatia,persistencia,sazonal_naive_288,media_movel_288,patchtst_s42,patchtst_s7,patchtst_s123,patchtst_s2024,patchtst_s999,dlinear_s42,dlinear_s7,dlinear_s123,dlinear_s2024,dlinear_s999,patchtst_media,patchtst_dp,dlinear_media,dlinear_dp
2024-09-15,2024-09-15→2024-09-24,0.1377569444444441,0.08629249338624335,0.060528814621913604,0.06856070017373116,0.07844454988285342,0.06427948208649949,0.07585580503499062,0.06432865748287717,0.06811922887961065,0.07296326661551435,0.07010144302138571,0.0693867577667589,0.06693757792313888,0.07029383893219036,0.006559900987754507,0.0695016548412817,0.0022826133737389345
2024-09-16,2024-09-15→2024-09-24,0.05743716931216937,0.057540674603174566,0.04575865299823677,0.045115475109014536,0.042169231500575104,0.039612374066675754,0.043455689338779926,0.04335227470107807,0.04251874848648354,0.04036215171612128,0.04356060572086821,0.04169734831714125,0.04944067027833728,0.042741008943224676,0.002039472303175325,0.043515904903790315,0.00351256569528
2024-09-17,2024-09-15→2024-09-24,0.0747858796296298,0.07373875661375662,0.0692283950617284,0.07595434621528344,0.05245252709855479,0.057594732355188444,0.06436684800518883,0.07583079219495177,0.07626226734547388,0.07217442866040286,0.08296197598258025,0.080659083623104,0.08626462007956531,0.06523984917383344,0.010602995673345198,0.07966447513822526,0.005547532902300115
2024-09-18,2024-09-15→2024-09-24,0.08754629629629612,0.0686898148148148,0.07550723379629645,0.047441438847117906,0.048670990908587376,0.04337019047472209,0.05491839774008146,0.047053038133515204,0.055357815150861335,0.06412504031040046,0.05374849773777851,0.0626163522623203,0.05451546733909179,0.04829081122080481,0.0041992696935622235,0.058072634560090486,0.004898949587536371
2024-09-19,2024-09-15→2024-09-24,0.10057407407407395,0.06934176587301583,0.07785011574074095,0.042495211325625254,0.05014695258052258,0.04927816504460791,0.05562460611043152,0.05193741988252707,0.04986871809051147,0.054171718668054626,0.051715958445160456,0.05027136006178678,0.056228293423299415,0.049896470988742864,0.004801059576505664,0.05245120973776255,0.0027013012756822333
2024-09-20,2024-09-15→2024-09-24,0.15504629629629652,0.061371106902356906,0.07468547599840991,0.0465876633988486,0.04414227401447615,0.04630113782264565,0.0511751521958245,0.03890687024673626,0.055263676515331955,0.057796881017861526,0.05316249536504647,0.055267523328463214,0.05230764377558672,0.045422619535706234,0.0044529492204522896,0.054759644000457984,0.0021389242479642177
2024-09-21,2024-09-15→2024-09-24,0.16958217592592603,0.06445434002725668,0.08103006044238699,0.0631446533133744,0.0799987487471293,0.07224903556404921,0.06130288481081604,0.05701550679862815,0.057537067892059444,0.06204613251345497,0.05767717209568728,0.05934068078401858,0.057631924436205906,0.06674216584679941,0.009262807014237259,0.05884659554428524,0.0019390072728127912
2024-09-22,2024-09-15→2024-09-24,0.11512500000000002,0.09269626322751323,0.08834635416666664,0.06929484152163147,0.07154081646538285,0.07218312099181784,0.06618965229975483,0.08263722331435591,0.07302533438281406,0.07564547032780117,0.08122224396183378,0.07862151658913447,0.07475953435014795,0.07236913091858857,0.0062006378154010906,0.07665481992234628,0.003260111862402466
2024-09-23,2024-09-15→2024-09-24,0.2074270833333335,0.06465360488277153,0.09305290316358018,0.08214077304469217,0.09927314700224464,0.07058848452568056,0.07393864783873928,0.07146724797619715,0.0918195649215639,0.09497931970999796,0.08602986667910198,0.09285602297028928,0.08629868617322714,0.07948166007751076,0.011966810287924132,0.09039669209083605,0.004029149042921012
2024-09-24,2024-09-15→2024-09-24,0.08856481481481476,0.05303413600288603,0.07757335413910933,0.03714243709851825,0.04926259093814427,0.039589154406199395,0.034315543071302815,0.037472696623474216,0.043095047178722604,0.04660927676776102,0.04310791762102222,0.04124079496393761,0.04274640378876341,0.03955648442752779,0.005741228817538713,0.04335988806404137,0.001972249684337233
2024-11-20,2024-11-20→2024-11-24,0.06796874999999991,0.0156388888888889,0.038732638888888865,0.013851181312843627,0.017690700689951565,0.013838732326472274,0.016876176441157294,0.01525239165182471,0.019781861062403053,0.019737038656517297,0.01811018440458507,0.01930605062731987,0.019251326852374594,0.015501836484449893,0.001748766528662798,0.019237292320639976,0.0006748330241586348
2024-11-21,2024-11-20→2024-11-24,0.06913194444444394,0.02071296296296297,0.04141927083333335,0.015431480571075719,0.02057382663091024,0.016622129334343812,0.014677972881882282,0.019436583810382407,0.02178259001837835,0.024491540612997825,0.020988500316937754,0.02337694108486174,0.020850379246252538,0.017348398645718893,0.0025542669568428818,0.02229799025588564,0.001585226876568027
2024-11-22,2024-11-20→2024-11-24,0.0534895833333332,0.01915162037037034,0.03843050733024688,0.014474068504792627,0.016518587955722103,0.01658171342478856,0.015075109203656487,0.015031534654122762,0.016623665094375604,0.01814466394759991,0.015295760565333882,0.017035577407589653,0.016099561519092982,0.015536202748616506,0.000955719567111179,0.016639845706798405,0.0010629928504073606
2024-11-23,2024-11-20→2024-11-24,0.07138888888888885,0.02711689814814809,0.04786566840277769,0.026496172944704674,0.023553148508071844,0.024139214025603362,0.022173137929704413,0.026028681110452673,0.02569852442211571,0.024945440173149057,0.028014584554566242,0.025575204531351682,0.025818977872530572,0.024478070903707395,0.0017860675587427302,0.02601054631074265,0.0011698503063887833
2024-11-24,2024-11-20→2024-11-24,0.07807291666666677,0.023946759259259237,0.049323881172839465,0.02048710606716299,0.01569517744912037,0.020721278168537003,0.01253024745870521,0.021645308313546392,0.017346614201863546,0.018667252880555565,0.018429707487424157,0.019852239710313246,0.016202481963016307,0.01821582349141439,0.003933091186252173,0.018099659248634565,0.0013846471699602277
2024-12-13,2024-12-13→2024-12-22,0.09239583333333323,0.02753472222222222,0.06314429012345672,0.018418947988086343,0.03217084487279261,0.029508240951432216,0.02065095735920805,0.02300719956556964,0.028661847776836866,0.03324691467814979,0.029578737815221245,0.026371086173587452,0.02722333735889865,0.024751238147417774,0.005865822862474861,0.029016384760538798,0.0026717009756604534
2024-12-14,2024-12-13→2024-12-22,0.10295138888888929,0.01930555555555566,0.04542341820987656,0.020711488988664435,0.034645326534907046,0.02397429373529225,0.024637650251388556,0.02450906925731238,0.020142321321699408,0.026085442966885086,0.018165224062071956,0.020104330976804148,0.018336205747392514,0.025695565753512933,0.00525425959931377,0.020566705014970623,0.003224616163281589
2024-12-15,2024-12-13→2024-12-22,0.053402777777777743,0.042534722222222265,0.04908444251543224,0.04656936460071137,0.029742962519327773,0.03481177402867208,0.04706105662716756,0.0448551406462987,0.0510072435935338,0.042024237579769516,0.051486065122816255,0.05146325151125586,0.05166388756699029,0.040608059684435496,0.007855941801508998,0.049528937074873144,0.004202256560871749
2024-12-16,2024-12-13→2024-12-22,0.0936805555555553,0.0311111111111112,0.05004822530864201,0.02276691377162933,0.026622805198033637,0.02500772674878439,0.028846500714619965,0.022090406351619293,0.027009421851899872,0.03304299255212146,0.022956616150008297,0.027840922408633745,0.025324063433541183,0.025066870556937328,0.0027775517594679595,0.02723480327924091,0.0037452320250916066
2024-12-17,2024-12-13→2024-12-22,0.07960069444444423,0.024913194444444463,0.05013551311728399,0.046628111733330625,0.026102178692817706,0.038923743830786825,0.041543126967218194,0.04120264112949371,0.03288352992799548,0.026555782490306448,0.035719573365317475,0.03127431670824688,0.03699597186512418,0.038879960470729405,0.00767780524247192,0.032685834871398096,0.0041045663354796254
2024-12-18,2024-12-13→2024-12-22,0.07873263888888918,0.019201388888888917,0.05337348090277783,0.03130480097399823,0.018776716258790807,0.03589706295066416,0.0192413618167242,0.0287784581051933,0.01486757377783461,0.014576638936996468,0.017098963525560222,0.015017639795939156,0.015917943782276622,0.026799680021074142,0.007557614955847199,0.015495751963721415,0.0010267060287357775
2024-12-19,2024-12-13→2024-12-22,0.11052083333333329,0.02418402777777781,0.05764178240740741,0.02046256899833682,0.021685590147972097,0.019866986539628807,0.015974267257584482,0.01711782581276365,0.021499881678157376,0.02731685519218442,0.02274402730994754,0.024431655870543557,0.02081799566745757,0.01902144775125717,0.0023873890784250314,0.02336208314365809,0.0026031892061546026
2024-12-20,2024-12-13→2024-12-22,0.09881944444444445,0.03427083333333338,0.07020447530864203,0.026056459347407045,0.032689417534404366,0.027806718018319923,0.026924384302563168,0.024412373370594473,0.033847460349400865,0.039693019721243145,0.03289032850000598,0.03754435267713338,0.033337889975971674,0.0275778705146578,0.0031201919994336314,0.03546261024475101,0.0029987411806012697
2024-12-21,2024-12-13→2024-12-22,0.11381944444444464,0.07680555555555554,0.07318865740740778,0.050995090338918865,0.06162904216183559,0.05318911757734089,0.05506805896759032,0.05389891710546281,0.06990048560831284,0.07387613938914409,0.06867332008149891,0.06943224774466623,0.07067375262578332,0.05495604523022969,0.004014665365266906,0.07051118908988108,0.0020164419828314216
2024-12-22,2024-12-13→2024-12-22,0.05986111111111086,0.08111111111111104,0.07813271604938207,0.03167384882767995,0.03161423140101963,0.03349336021476321,0.02923185712761351,0.029714563025368606,0.028270806074142476,0.028973092900382153,0.026427424285146935,0.02670750624603697,0.02684966173436908,0.031145572119288978,0.001711791374589602,0.027445698248015526,0.0011125203559547948
