H,data,variavel,piso_MAE,dl_MAE_s42,dl_MAE_s7,dl_MAE_s123,dl_MAE_media,dl_MAE_dp
72,2023-01-21,ph,0.0419,0.009,0.0085,0.0071,0.0082,0.001
72,2023-01-21,od,0.0162,0.1404,0.1555,0.11,0.1353,0.0232
72,2023-01-22,ph,0.0146,0.02,0.015,0.0123,0.0157,0.0039
72,2023-01-22,od,0.0164,0.0798,0.1028,0.1049,0.0958,0.0139
72,2023-01-23,ph,0.0236,0.0221,0.0158,0.0172,0.0184,0.0033
72,2023-01-23,od,0.0282,0.0443,0.1289,0.1662,0.1131,0.0625
72,2023-01-24,ph,0.0157,0.0114,0.0099,0.0125,0.0113,0.0013
72,2023-01-24,od,0.0417,0.0392,0.0431,0.027,0.0364,0.0084
72,2023-01-25,ph,0.0131,0.0126,0.0136,0.0166,0.0143,0.0021
72,2023-01-25,od,0.0611,0.0861,0.1347,0.1234,0.1148,0.0254
72,2023-01-26,ph,0.0235,0.0112,0.0088,0.0123,0.0108,0.0018
72,2023-01-26,od,0.0108,0.0649,0.1459,0.1411,0.1173,0.0454
72,2023-01-27,ph,0.0301,0.0106,0.0225,0.0105,0.0145,0.0069
72,2023-01-27,od,0.0211,0.1339,0.123,0.165,0.1406,0.0218
72,2024-04-19,ph,0.0346,0.0166,0.0184,0.018,0.0176,0.0009
72,2024-04-19,od,0.5783,0.0457,0.1281,0.1169,0.0969,0.0447
72,2024-04-20,ph,0.0249,0.0298,0.0329,0.0239,0.0289,0.0046
72,2024-04-20,od,0.079,0.0506,0.131,0.0413,0.0743,0.0494
72,2024-04-21,ph,0.0181,0.0204,0.0156,0.0256,0.0205,0.005
72,2024-04-21,od,0.0781,0.1588,0.1329,0.106,0.1326,0.0264
72,2024-04-22,ph,0.0197,0.0123,0.0139,0.011,0.0124,0.0015
72,2024-04-22,od,0.0829,0.1145,0.0614,0.0889,0.0882,0.0265
72,2024-04-23,ph,0.0275,0.0145,0.0154,0.0219,0.0173,0.004
72,2024-04-23,od,0.0325,0.1937,0.1661,0.1499,0.1699,0.0221
72,2024-04-24,ph,0.0179,0.0225,0.0265,0.0297,0.0262,0.0036
72,2024-04-24,od,0.0167,0.0663,0.0335,0.0735,0.0578,0.0213
72,2024-04-25,ph,0.046,0.0148,0.0157,0.0135,0.0147,0.0011
72,2024-04-25,od,0.2807,0.0585,0.0318,0.0292,0.0398,0.0162
72,2024-04-26,ph,0.0269,0.0153,0.0219,0.0162,0.0178,0.0036
72,2024-04-26,od,0.2318,0.0419,0.0831,0.0601,0.0617,0.0207
72,2024-04-27,ph,0.024,0.0129,0.0159,0.015,0.0146,0.0015
72,2024-04-27,od,0.1057,0.0654,0.0321,0.0541,0.0505,0.017
72,2024-04-28,ph,0.0199,0.0137,0.0121,0.0121,0.0127,0.0009
72,2024-04-28,od,0.0211,0.0588,0.0438,0.0395,0.0474,0.0101
72,2024-07-20,ph,0.0385,0.0348,0.0333,0.0297,0.0326,0.0027
72,2024-07-20,od,0.4079,0.253,0.1616,0.2193,0.2113,0.0462
72,2024-07-21,ph,0.0386,0.0181,0.0196,0.0162,0.018,0.0017
72,2024-07-21,od,0.1736,0.1629,0.1099,0.1487,0.1405,0.0274
72,2024-07-22,ph,0.1033,0.0417,0.0509,0.0549,0.0492,0.0068
72,2024-07-22,od,0.2164,0.1105,0.1684,0.147,0.1419,0.0293
72,2024-07-23,ph,0.0376,0.0157,0.0218,0.0182,0.0185,0.0031
72,2024-07-23,od,0.3035,0.228,0.1088,0.1424,0.1597,0.0614
72,2024-07-24,ph,0.0315,0.0362,0.03,0.031,0.0324,0.0033
72,2024-07-24,od,0.2108,0.1231,0.2182,0.2004,0.1806,0.0505
72,2024-07-25,ph,0.0371,0.0525,0.0363,0.0426,0.0438,0.0081
72,2024-07-25,od,0.1565,0.1683,0.2302,0.2083,0.2023,0.0314
72,2024-07-26,ph,0.0185,0.0201,0.0191,0.0222,0.0205,0.0016
72,2024-07-26,od,0.221,0.1231,0.125,0.1305,0.1262,0.0038
72,2024-07-27,ph,0.0319,0.0354,0.0396,0.0362,0.0371,0.0022
72,2024-07-27,od,0.1542,0.2148,0.1795,0.2276,0.2073,0.0249
72,2024-07-28,ph,0.0347,0.0197,0.0313,0.0297,0.0269,0.0063
72,2024-07-28,od,0.1044,0.1471,0.1241,0.1611,0.1441,0.0187
72,2024-07-29,ph,0.0164,0.014,0.0158,0.0187,0.0161,0.0023
72,2024-07-29,od,0.1003,0.1034,0.0856,0.1004,0.0965,0.0095
72,2024-09-15,ph,0.122,0.0396,0.0733,0.0598,0.0576,0.017
72,2024-09-15,od,0.644,0.1292,0.1236,0.2088,0.1539,0.0476
72,2024-09-16,ph,0.0465,0.043,0.0426,0.0417,0.0424,0.0007
72,2024-09-16,od,0.1636,0.2025,0.2139,0.1976,0.2047,0.0083
72,2024-09-17,ph,0.1377,0.0624,0.0703,0.075,0.0692,0.0064
72,2024-09-17,od,0.8721,0.0854,0.1061,0.103,0.0982,0.0112
72,2024-09-18,ph,0.0837,0.068,0.0657,0.0687,0.0675,0.0016
72,2024-09-18,od,0.1722,0.2782,0.0909,0.1089,0.1593,0.1033
72,2024-09-19,ph,0.0985,0.0544,0.0528,0.0549,0.054,0.0011
72,2024-09-19,od,0.1917,0.1914,0.3114,0.1923,0.2317,0.069
72,2024-09-20,ph,0.0521,0.0371,0.0328,0.0353,0.0351,0.0022
72,2024-09-20,od,0.1607,0.1653,0.0488,0.0782,0.0975,0.0606
72,2024-09-21,ph,0.0703,0.0615,0.0572,0.0596,0.0594,0.0021
72,2024-09-21,od,0.2793,0.0791,0.1526,0.1592,0.1303,0.0445
72,2024-09-22,ph,0.1079,0.0571,0.0561,0.0546,0.0559,0.0013
72,2024-09-22,od,0.2658,0.0814,0.0908,0.0887,0.087,0.0049
