H,data,variavel,piso_MAE,cd_MAE_s42,cd_MAE_s7,cd_MAE_s123,cd_MAE_media,cd_MAE_dp
288,2022-07-26,od,0.0973,0.033,0.0858,0.0525,0.0571,0.0267
288,2022-07-27,ph,0.0297,0.0246,0.0226,0.0235,0.0236,0.001
288,2022-07-27,od,0.1574,0.0404,0.0807,0.0777,0.0663,0.0224
288,2022-07-28,ph,0.2538,0.2498,0.257,0.2586,0.2551,0.0047
288,2022-07-28,od,0.1791,0.0687,0.0769,0.08,0.0752,0.0058
288,2022-07-29,ph,0.2024,0.1157,0.0188,0.0873,0.0739,0.0498
288,2022-07-29,od,0.2647,0.3301,0.1981,0.2142,0.2475,0.072
288,2023-01-18,ph,0.0517,0.046,0.0258,0.0423,0.038,0.0108
288,2023-01-18,od,0.072,0.212,0.1164,0.0896,0.1393,0.0643
288,2023-01-19,ph,0.0271,0.0158,0.0346,0.0251,0.0252,0.0094
288,2023-01-19,od,0.0347,0.1556,0.0772,0.0896,0.1075,0.0422
288,2023-01-20,ph,0.0475,0.0189,0.0371,0.0355,0.0305,0.0101
288,2023-01-20,od,0.0825,0.1098,0.1114,0.12,0.1137,0.0055
288,2023-01-21,ph,0.038,0.0313,0.0224,0.0242,0.026,0.0047
288,2023-01-21,od,0.1225,0.1695,0.0651,0.1132,0.1159,0.0523
288,2023-01-22,ph,0.021,0.0357,0.017,0.0094,0.0207,0.0135
288,2023-01-22,od,0.0309,0.1063,0.0641,0.0821,0.0842,0.0212
288,2023-01-23,ph,0.0183,0.0282,0.0253,0.0117,0.0217,0.0088
288,2023-01-23,od,0.0935,0.0764,0.0864,0.0674,0.0767,0.0095
288,2023-01-24,ph,0.0347,0.0329,0.027,0.0205,0.0268,0.0062
288,2023-01-24,od,0.063,0.0675,0.0575,0.0532,0.0594,0.0073
288,2023-01-25,ph,0.0132,0.0138,0.0108,0.0141,0.0129,0.0018
288,2023-01-25,od,0.091,0.1337,0.1233,0.1292,0.1287,0.0052
288,2023-01-26,ph,0.0203,0.0097,0.0169,0.0238,0.0168,0.0071
288,2023-01-26,od,0.072,0.1673,0.149,0.1475,0.1546,0.0111
288,2023-01-27,ph,0.0158,0.0207,0.0215,0.0168,0.0197,0.0025
288,2023-01-27,od,0.0386,0.1836,0.1593,0.1587,0.1672,0.0142
288,2024-04-19,ph,0.0262,0.0213,0.0247,0.0257,0.0239,0.0023
288,2024-04-19,od,0.3019,0.2167,0.248,0.2717,0.2455,0.0276
288,2024-04-20,ph,0.0623,0.0239,0.0279,0.0362,0.0294,0.0063
288,2024-04-20,od,0.2474,0.0949,0.0543,0.0656,0.0716,0.0209
288,2024-04-21,ph,0.0226,0.0135,0.0203,0.0209,0.0183,0.0041
288,2024-04-21,od,0.0525,0.0592,0.0995,0.0695,0.0761,0.0209
288,2024-04-22,ph,0.0238,0.0168,0.0183,0.0185,0.0179,0.0009
288,2024-04-22,od,0.0403,0.0624,0.0587,0.1011,0.0741,0.0235
288,2024-04-23,ph,0.0327,0.0295,0.029,0.0428,0.0338,0.0078
288,2024-04-23,od,0.0287,0.0715,0.0698,0.1204,0.0873,0.0287
288,2024-04-24,ph,0.024,0.0288,0.0247,0.0253,0.0262,0.0022
288,2024-04-24,od,0.0421,0.0618,0.0711,0.092,0.075,0.0155
288,2024-04-25,ph,0.0255,0.0283,0.0209,0.0183,0.0225,0.0052
288,2024-04-25,od,0.178,0.2882,0.1623,0.245,0.2319,0.064
288,2024-04-26,ph,0.0263,0.0208,0.0171,0.0149,0.0176,0.0029
288,2024-04-26,od,0.2024,0.1521,0.1009,0.1257,0.1262,0.0256
288,2024-04-27,ph,0.018,0.0196,0.0133,0.0146,0.0158,0.0033
288,2024-04-27,od,0.0495,0.0742,0.0508,0.055,0.06,0.0125
288,2024-04-28,ph,0.0207,0.0283,0.0178,0.0172,0.0211,0.0062
288,2024-04-28,od,0.0424,0.1033,0.0575,0.0471,0.0693,0.0299
288,2024-07-20,ph,0.0224,0.0264,0.0243,0.0244,0.025,0.0012
288,2024-07-20,od,0.1723,0.2123,0.362,0.3105,0.2949,0.0761
288,2024-07-21,ph,0.0392,0.0277,0.0247,0.0275,0.0266,0.0017
288,2024-07-21,od,0.2109,0.091,0.1507,0.1103,0.1173,0.0305
